"('mid',)","('pid',)"
tt0002130,nm0655824
tt0002130,nm0078205
tt0002130,nm0209738
tt0002844,nm0275421
tt0003014,nm0803705
tt0003037,nm0275421
tt0003165,nm0275421
tt0003419,nm0753233
tt0003419,nm0917467
tt0003643,nm0000428
tt0003740,nm0665163
tt0003772,nm0456804
tt0003930,nm0275421
tt0003952,nm0275421
tt0004026,nm0301961
tt0004026,nm0917467
tt0004181,nm0000428
tt0004465,nm0309163
tt0004465,nm0533289
tt0004707,nm0784407
tt0004707,nm0071658
tt0004972,nm0000428
tt0005078,nm0001124
tt0005960,nm0909825
tt0006206,nm0275421
tt0006333,nm0665737
tt0006864,nm0000428
tt0008443,nm0869665
tt0008663,nm0803705
tt0008879,nm0803705
tt0009369,nm0428059
tt0009369,nm0949648
tt0009652,nm0624714
tt0009878,nm0652650
tt0009892,nm0002177
tt0009893,nm0523932
tt0009937,nm0002233
tt0009968,nm0000428
tt0010040,nm0624714
tt0010071,nm0001124
tt0010247,nm0830249
tt0010281,nm0523932
tt0010307,nm0304098
tt0010323,nm0927468
tt0010418,nm0001124
tt0010600,nm0523932
tt0010726,nm0000485
tt0010806,nm0000428
tt0011000,nm0003433
tt0011130,nm0731910
tt0011221,nm0927468
tt0011237,nm0091380
tt0011237,nm0917467
tt0011387,nm0869665
tt0011387,nm0113284
tt0011439,nm0629243
tt0011565,nm0941637
tt0011607,nm0003433
tt0011652,nm0085133
tt0011652,nm0810367
tt0011841,nm0000428
tt0011865,nm0001124
tt0011870,nm0584778
tt0011904,nm0941637
tt0011909,nm0001124
tt0011960,nm0523932
tt0012190,nm0002271
tt0012349,nm0000122
tt0012364,nm0803705
tt0012494,nm0000485
tt0012532,nm0000428
tt0012642,nm0628345
tt0012651,nm0003638
tt0012675,nm0577654
tt0012752,nm0629243
tt0012763,nm0454771
tt0012938,nm0939992
tt0012952,nm0002188
tt0012952,nm0629243
tt0013075,nm0628345
tt0013075,nm0853130
tt0013086,nm0000485
tt0013140,nm0002233
tt0013201,nm0628345
tt0013257,nm0159725
tt0013427,nm0280904
tt0013442,nm0003638
tt0013496,nm0003638
tt0013556,nm0245385
tt0013750,nm0897085
tt0013933,nm0258477
tt0014029,nm0428059
tt0014109,nm0830249
tt0014142,nm0941637
tt0014205,nm0646058
tt0014341,nm0090007
tt0014341,nm0000036
tt0014358,nm0000122
tt0014417,nm0304098
tt0014429,nm0628345
tt0014429,nm0853130
tt0014532,nm0001124
tt0014538,nm0000036
tt0014538,nm0166836
tt0014586,nm0083532
tt0014586,nm0501902
tt0014611,nm0628345
tt0014611,nm0853130
tt0014624,nm0000122
tt0014646,nm0698839
tt0014945,nm0853130
tt0014945,nm0628345
tt0014972,nm0803705
tt0015002,nm0628345
tt0015002,nm0853130
tt0015016,nm0000406
tt0015039,nm0895048
tt0015064,nm0003638
tt0015116,nm0245385
tt0015119,nm0523932
tt0015136,nm0003433
tt0015163,nm0187981
tt0015163,nm0000036
tt0015174,nm0000485
tt0015175,nm0000485
tt0015202,nm0927468
tt0015214,nm0163229
tt0015224,nm0107543
tt0015324,nm0000036
tt0015361,nm0001178
tt0015400,nm0909825
tt0015532,nm0002569
tt0015532,nm0718201
tt0015624,nm0384276
tt0015624,nm0896542
tt0015634,nm0584778
tt0015648,nm0001178
tt0015768,nm0003433
tt0015772,nm0113284
