"('mid',)","('genre',)"
tt0002130,Adventure
tt0002130,Drama
tt0002130,Fantasy
tt0002844,Crime
tt0002844,Drama
tt0003014,Drama
tt0003037,Crime
tt0003037,Drama
tt0003165,Crime
tt0003165,Drama
tt0003165,Mystery
tt0003419,Drama
tt0003419,Fantasy
tt0003419,Horror
tt0003643,Crime
tt0003643,Drama
tt0003643,Horror
tt0003740,Adventure
tt0003740,Drama
tt0003740,History
tt0003772,Drama
tt0003772,Fantasy
tt0003930,Crime
tt0003930,Drama
tt0003952,Crime
tt0003952,Drama
tt0004026,Horror
tt0004181,Drama
tt0004465,Action
tt0004465,Adventure
tt0004465,Drama
tt0004707,Comedy
tt0004972,Drama
tt0004972,History
tt0004972,War
tt0005078,Drama
tt0005078,Romance
tt0005960,Biography
tt0005960,Crime
tt0005960,Drama
tt0006206,Action
tt0006206,Adventure
tt0006206,Crime
tt0006333,Action
tt0006333,Adventure
tt0006333,Sci-Fi
tt0006864,Drama
tt0006864,History
tt0008443,Comedy
tt0008443,Drama
tt0008443,Family
tt0008663,Drama
tt0008663,War
tt0008879,Drama
tt0009369,Comedy
tt0009369,Drama
tt0009652,Drama
tt0009878,Crime
tt0009878,Drama
tt0009878,History
tt0009892,Drama
tt0009892,Fantasy
tt0009892,History
tt0009893,Comedy
tt0009937,Drama
tt0009937,Romance
tt0009968,Drama
tt0009968,Romance
tt0010040,Comedy
tt0010040,Drama
tt0010071,Comedy
tt0010247,Drama
tt0010247,History
tt0010281,Comedy
tt0010281,Romance
tt0010307,Drama
tt0010307,Horror
tt0010307,War
tt0010323,Horror
tt0010323,Mystery
tt0010323,Thriller
tt0010418,Adventure
tt0010418,Drama
tt0010600,Comedy
tt0010600,Fantasy
tt0010726,Adventure
tt0010726,Western
tt0010806,Comedy
tt0010806,Drama
tt0010806,Romance
tt0011000,Drama
tt0011130,Drama
tt0011130,Horror
tt0011130,Sci-Fi
tt0011221,Horror
tt0011237,Fantasy
tt0011237,Horror
tt0011387,Action
tt0011387,Adventure
tt0011387,Drama
tt0011439,Adventure
tt0011439,Romance
tt0011439,Western
tt0011565,Crime
tt0011565,Drama
tt0011565,Horror
tt0011607,Comedy
tt0011607,Drama
tt0011607,Horror
tt0011652,Comedy
tt0011841,Drama
tt0011841,Romance
tt0011865,Comedy
tt0011865,Drama
tt0011870,Drama
tt0011870,Romance
tt0011904,Crime
tt0011904,Drama
tt0011904,Mystery
tt0011909,Comedy
tt0011909,Drama
tt0011960,Comedy
tt0011960,Drama
tt0011960,Romance
tt0012190,Drama
tt0012190,Romance
tt0012190,War
tt0012349,Comedy
tt0012349,Drama
tt0012349,Family
tt0012364,Drama
tt0012364,Fantasy
tt0012364,Horror
tt0012494,Drama
tt0012494,Fantasy
tt0012494,Horror
tt0012532,Drama
tt0012532,History
tt0012532,Romance
tt0012642,Comedy
tt0012651,Crime
tt0012651,Drama
tt0012651,Horror
tt0012675,Adventure
tt0012675,Drama
tt0012675,Romance
tt0012752,Action
tt0012752,Adventure
tt0012752,Family
tt0012763,Drama
tt0012938,Drama
tt0012938,Romance
tt0012952,Drama
tt0012952,Romance
tt0012952,Sport
tt0013075,Comedy
tt0013075,Romance
tt0013086,Crime
tt0013086,Mystery
tt0013086,Thriller
tt0013140,Drama
tt0013140,Thriller
tt0013201,Comedy
tt0013201,Family
tt0013257,Documentary
tt0013257,Fantasy
tt0013257,History
tt0013427,Documentary
tt0013442,Fantasy
tt0013442,Horror
tt0013496,Drama
tt0013496,Romance
tt0013556,Adventure
tt0013556,Family
tt0013556,Romance
tt0013750,Drama
tt0013750,Romance
tt0013933,Drama
tt0013933,Romance
tt0014029,Comedy
tt0014029,Romance
tt0014109,Drama
