"('mid',)","('titleType',)","('primaryTitle',)","('originalTitle',)","('isAdult',)","('startYear',)","('endYear',)","('runtimeMinutes',)"
tt0002130,movie,Dante's Inferno,L'Inferno,0,1911,,71
tt0002844,movie,Fantômas: In the Shadow of the Guillotine,Fantômas - À l'ombre de la guillotine,0,1913,,54
tt0003014,movie,Ingeborg Holm,Ingeborg Holm,0,1913,,96
tt0003037,movie,Fantomas: The Man in Black,Juve contre Fantômas,0,1913,,61
tt0003165,movie,Fantômas: The Dead Man Who Killed,Le mort qui tue,0,1913,,90
tt0003419,movie,The Student of Prague,Der Student von Prag,0,1913,,85
tt0003643,movie,The Avenging Conscience: or 'Thou Shalt Not Kill',The Avenging Conscience: or 'Thou Shalt Not Kill',0,1914,,78
tt0003740,movie,Cabiria,Cabiria,0,1914,,148
tt0003772,movie,Cinderella,Cinderella,0,1914,,52
tt0003930,movie,Fantomas: The Mysterious Finger Print,Fantômas contre Fantômas,0,1914,,59
tt0003952,movie,Fantômas: The False Magistrate,Le faux magistrat,0,1914,,70
tt0004026,movie,The Golem,Der Golem,0,1914,,60
tt0004181,movie,Judith of Bethulia,Judith of Bethulia,0,1914,,61
tt0004465,movie,The Perils of Pauline,The Perils of Pauline,0,1914,,199
tt0004707,movie,Tillie's Punctured Romance,Tillie's Punctured Romance,0,1914,,82
tt0004972,movie,The Birth of a Nation,The Birth of a Nation,0,1915,,195
tt0005078,movie,The Cheat,The Cheat,0,1915,,59
tt0005960,movie,The Regeneration,The Regeneration,0,1915,,72
tt0006206,movie,Les vampires,Les vampires,0,1915,,421
tt0006333,movie,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",0,1916,,105
tt0006864,movie,Intolerance,Intolerance: Love's Struggle Throughout the Ages,0,1916,,163
tt0008443,movie,The Poor Little Rich Girl,The Poor Little Rich Girl,0,1917,,65
tt0008663,movie,A Man There Was,Terje Vigen,0,1917,,65
tt0008879,movie,The Outlaw and His Wife,Berg-Ejvind och hans hustru,0,1918,,136
tt0009369,movie,Mickey,Mickey,0,1918,,93
tt0009652,movie,Stella Maris,Stella Maris,0,1918,,84
tt0009878,movie,Different from the Others,Anders als die Andern,0,1919,,50
tt0009892,movie,Auction of Souls,Ravished Armenia,0,1919,,80
tt0009893,movie,The Oyster Princess,Die Austernprinzessin,0,1919,,60
tt0009937,movie,Blind Husbands,Blind Husbands,0,1919,,102
tt0009968,movie,Broken Blossoms,Broken Blossoms or The Yellow Man and the Girl,0,1919,,90
tt0010040,movie,Daddy-Long-Legs,Daddy-Long-Legs,0,1919,,85
tt0010071,movie,Don't Change Your Husband,Don't Change Your Husband,0,1919,,71
tt0010247,movie,Sir Arne's Treasure,Herr Arnes pengar,0,1919,,122
tt0010281,movie,I Don't Want to Be a Man,Ich möchte kein Mann sein,0,1918,,45
tt0010307,movie,J'accuse!,J'accuse,0,1919,,166
tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,0,1920,,76
tt0010418,movie,Male and Female,Male and Female,0,1919,,116
tt0010600,movie,The Doll,Die Puppe,0,1919,,66
tt0010726,movie,The Spiders - Episode 1: The Golden Sea,"Die Spinnen, 1. Teil - Der Goldene See",0,1919,,81
tt0010806,movie,True Heart Susie,True Heart Susie,0,1919,,87
tt0011000,movie,Leaves From Satan's Book,Blade af Satans bog,0,1920,,167
