"('mid',)","('averageRating',)","('numVotes',)"
tt0002130,7.0,2794
tt0002844,6.9,2217
tt0003014,7.0,1193
tt0003037,6.9,1536
tt0003165,6.9,1205
tt0003419,6.4,2056
tt0003643,6.4,1271
tt0003740,7.1,3494
tt0003772,6.1,1014
tt0003930,6.8,1308
tt0003952,6.7,1076
tt0004026,6.8,1156
tt0004181,6.2,1356
tt0004465,6.3,1026
tt0004707,6.3,3496
tt0004972,6.2,24300
tt0005078,6.5,2539
tt0005960,6.8,1270
tt0006206,7.3,4703
tt0006333,6.1,1735
tt0006864,7.7,15261
tt0008443,6.7,1414
tt0008663,7.3,1928
tt0008879,7.2,1826
tt0009369,6.1,1120
tt0009652,6.9,1465
tt0009878,7.0,1278
tt0009892,6.1,1147
tt0009893,7.2,1918
tt0009937,6.9,1524
tt0009968,7.3,10169
tt0010040,6.7,1408
tt0010071,6.6,1215
tt0010247,7.1,1375
tt0010281,6.8,1442
tt0010307,7.7,1728
tt0010323,8.0,61988
tt0010418,7.0,1854
tt0010600,7.4,2016
tt0010726,6.5,1247
tt0010806,7.0,1793
tt0011000,6.6,1261
tt0011130,6.9,5325
tt0011221,5.9,1008
tt0011237,7.2,7513
tt0011387,6.7,1271
tt0011439,7.1,2483
tt0011565,7.4,2356
tt0011607,7.1,1298
tt0011652,6.1,1565
tt0011841,7.4,5430
tt0011865,6.7,1436
tt0011870,6.4,3060
tt0011904,6.8,1230
tt0011909,6.7,1298
tt0011960,6.9,1171
tt0012190,7.2,3315
tt0012349,8.3,123469
tt0012364,8.0,12130
tt0012494,7.6,5940
tt0012532,7.4,5104
tt0012642,6.8,1114
tt0012651,6.1,1827
tt0012675,6.3,3366
tt0012752,6.9,1009
tt0012763,7.1,1856
tt0012938,6.7,2329
tt0012952,6.4,1373
tt0013075,7.1,1466
tt0013086,7.8,8229
tt0013140,7.0,3528
tt0013201,7.0,1800
tt0013257,7.6,13940
tt0013427,7.6,11921
tt0013442,7.9,94399
tt0013496,6.8,1760
tt0013556,7.1,2201
tt0013750,6.7,1033
tt0013933,7.5,1270
tt0014029,6.7,1149
tt0014109,7.0,1241
tt0014142,7.2,5343
tt0014205,6.5,1004
tt0014341,7.8,11067
tt0014358,7.3,4974
tt0014417,7.5,2243
tt0014429,8.1,20161
tt0014532,6.8,2242
tt0014538,7.0,4378
tt0014586,6.6,2038
tt0014611,7.4,1762
tt0014624,7.0,5380
tt0014646,6.4,2593
tt0014945,7.7,3382
tt0014972,7.8,3701
tt0015002,7.1,1375
tt0015016,7.2,2162
tt0015039,7.0,1049
tt0015064,8.0,13767
tt0015116,6.7,1072
tt0015119,7.1,1252
tt0015136,7.1,1809
tt0015163,7.6,9783
tt0015174,7.9,4403
tt0015175,8.1,5766
tt0015202,7.0,2856
tt0015214,7.2,1737
tt0015224,7.1,1055
tt0015324,8.2,47835
tt0015361,7.6,7825
tt0015400,7.7,6083
tt0015532,7.8,6076
tt0015624,7.9,6674
tt0015634,6.2,1017
tt0015648,8.0,56670
tt0015768,7.1,2036
tt0015772,6.6,1996
tt0015841,7.5,5460
tt0015842,7.1,1570
tt0015863,7.2,4250
tt0015864,8.2,108893
tt0015873,7.7,1043
tt0015881,8.1,9760
tt0016004,7.2,1151
tt0016029,7.0,1678
tt0016039,7.0,5114
tt0016104,7.3,2393
tt0016123,6.2,1145
tt0016220,7.6,18072
tt0016230,5.8,2475
tt0016332,7.9,10081
tt0016473,7.2,1903
tt0016481,7.4,1202
tt0016544,5.0,1508
tt0016627,7.1,1196
tt0016630,7.0,3345
tt0016641,7.8,7585
tt0016654,7.1,1873
tt0016669,7.3,1581
tt0016690,6.3,1475
tt0016822,7.0,1010
tt0016847,8.1,14998
tt0016884,7.6,4273
tt0016895,7.5,1669
tt0017048,7.4,3436
tt0017075,7.3,11586
tt0017128,7.5,2758
tt0017136,8.3,170325
tt0017271,7.6,1072
tt0017350,7.7,1795
tt0017416,6.6,1965
tt0017423,7.4,1319
tt0017448,7.1,2453
tt0017449,6.9,1227
tt0017463,7.5,1189
tt0017534,6.7,1920
tt0017668,7.6,4323
tt0017739,7.1,2952
tt0017765,7.0,4792
tt0017825,6.0,2532
tt0017843,5.5,2757
tt0017925,8.2,89093
tt0017961,7.4,1095
tt0018033,7.2,3197
tt0018037,6.4,9821
tt0018051,7.6,4299
tt0018054,7.4,2111
tt0018066,7.3,1688
tt0018097,6.7,1338
tt0018107,6.9,1036
tt0018192,8.2,7714
tt0018217,7.4,7738
tt0018311,6.9,1419
tt0018328,6.2,3474
tt0018379,7.6,3560
tt0018440,6.5,1004
tt0018451,7.6,1497
tt0018455,8.1,50357
tt0018471,7.2,1562
tt0018505,7.3,1179
tt0018515,6.7,1005
tt0018526,7.6,2971
tt0018528,7.8,7928
tt0018578,7.6,12573
tt0018618,6.3,1136
tt0018684,7.5,1114
tt0018737,7.8,10580
tt0018742,8.0,11549
tt0018756,5.5,2309
tt0018770,7.3,3900
tt0018773,8.1,33050
tt0018806,8.1,8275
tt0018839,7.5,4435
tt0018876,5.8,2789
tt0019071,8.0,3838
tt0019074,7.6,1949
tt0019109,7.8,2262
tt0019130,7.7,6726
tt0019195,7.3,1336
tt0019237,6.8,1792
tt0019254,8.2,52956
tt0019258,7.5,2581
tt0019286,7.0,2084
tt0019304,6.7,1290
tt0019344,7.3,2681
tt0019379,7.7,3719
tt0019400,6.4,1023
tt0019412,7.6,3672
tt0019415,7.5,3508
tt0019421,7.9,14382
tt0019429,7.3,2335
tt0019558,7.4,1749
