"('mid',)","('pid',)"
tt0002130,nm0019604
tt0002844,nm0019855
tt0002844,nm0275421
tt0002844,nm0816232
tt0003014,nm0472236
tt0003014,nm0803705
tt0003037,nm0019855
tt0003037,nm0275421
tt0003037,nm0816232
tt0003165,nm0019855
tt0003165,nm0275421
tt0003165,nm0816232
tt0003419,nm0263912
tt0003419,nm0210503
tt0003643,nm0000590
tt0003643,nm0000428
tt0003740,nm0195339
tt0003740,nm0515385
tt0003740,nm0665163
tt0003740,nm0758215
tt0003772,nm0674518
tt0003930,nm0019855
tt0003930,nm0275421
tt0003930,nm0816232
tt0003952,nm0019855
tt0003952,nm0275421
tt0003952,nm0816232
tt0004026,nm0917467
tt0004026,nm0301961
tt0004181,nm0017701
tt0004181,nm0000428
tt0004181,nm1106102
tt0004181,nm0940488
tt0004465,nm0323766
tt0004465,nm0225458
tt0004465,nm0782707
tt0004465,nm0589616
tt0004707,nm0215874
tt0004707,nm0404327
tt0004707,nm0784407
tt0004707,nm1100197
tt0004707,nm0808086
tt0004972,nm0228746
tt0004972,nm0000428
tt0004972,nm0940488
tt0005078,nm0877318
tt0005078,nm0534221
tt0005960,nm0452976
tt0005960,nm0909825
tt0005960,nm0361882
tt0005960,nm0352506
tt0006206,nm0275421
tt0006333,nm0894523
tt0006333,nm0665737
tt0006864,nm0048512
tt0006864,nm0115218
tt0006864,nm0000428
tt0006864,nm0002616
tt0006864,nm0640437
tt0006864,nm1578667
tt0006864,nm0940488
tt0008443,nm0309557
tt0008443,nm0547966
tt0008663,nm0406585
tt0008663,nm0596410
tt0008663,nm0803705
tt0008879,nm0803705
tt0008879,nm0039377
tt0008879,nm2642082
tt0009369,nm0215874
tt0009369,nm0370271
tt0009652,nm0516810
tt0009652,nm0547966
tt0009878,nm0386589
tt0009878,nm0652650
tt0009892,nm0546295
tt0009892,nm0309568
tt0009892,nm0152165
tt0009893,nm0473134
tt0009893,nm0523932
tt0009937,nm0002233
tt0009937,nm0239769
tt0009968,nm0121885
tt0009968,nm0000428
tt0010040,nm0916914
tt0010040,nm0426515
tt0010071,nm0534221
tt0010247,nm0481248
tt0010247,nm0596410
tt0010247,nm0830249
tt0010281,nm0473134
tt0010281,nm0523932
tt0010307,nm0304098
tt0010323,nm0562346
tt0010323,nm0417917
tt0010418,nm0534221
tt0010418,nm0057381
tt0010600,nm0006782
tt0010600,nm0473134
tt0010600,nm0523932
tt0010600,nm0932559
tt0010726,nm0000485
tt0010806,nm0294026
tt0011000,nm0406094
tt0011000,nm0179740
tt0011000,nm0003433
tt0011130,nm0829044
tt0011130,nm0073238
tt0011130,nm0838370
tt0011130,nm0928492
tt0011221,nm0562346
tt0011237,nm0917467
tt0011237,nm0301961
tt0011387,nm0178126
tt0011387,nm0227062
tt0011439,nm0191547
tt0011439,nm0001196
tt0011439,nm1491939
tt0011565,nm0606563
tt0011565,nm0448981
tt0011565,nm0518844
tt0011607,nm0003433
tt0011607,nm0418114
tt0011652,nm0397167
tt0011652,nm0544579
tt0011652,nm0558923
tt0011652,nm0810367
tt0011841,nm0662461
tt0011841,nm0103755
tt0011841,nm0342604
tt0011841,nm0446189
tt0011841,nm0000428
tt0011865,nm0697880
tt0011865,nm0210352
tt0011865,nm0184632
tt0011870,nm0584778
tt0011904,nm0606563
tt0011904,nm0927851
tt0011909,nm0774217
tt0011909,nm0534221
tt0011960,nm0473134
tt0011960,nm0523932
tt0012190,nm0087658
tt0012190,nm0558923
tt0012349,nm0000122
tt0012364,nm0481248
tt0012364,nm0803705
tt0012494,nm0000485
tt0012494,nm0902376
tt0012532,nm0257866
tt0012532,nm0180077
tt0012532,nm0000428
tt0012642,nm0730018
tt0012642,nm0853130
tt0012642,nm0369841
tt0012642,nm0907778
tt0012651,nm0833695
tt0012651,nm0562346
tt0012675,nm0401423
tt0012675,nm0441601
tt0012752,nm0241416
tt0012752,nm0461241
tt0012752,nm0940689
tt0012752,nm0001196
tt0012763,nm0378947
tt0012763,nm0332539
tt0012763,nm0454771
tt0012938,nm0323325
tt0012938,nm0192325
tt0012952,nm0087658
tt0012952,nm0193704
tt0012952,nm0558923
tt0013075,nm0730018
tt0013075,nm0853130
tt0013075,nm0369841
tt0013075,nm0907778
tt0013075,nm0188274
tt0013086,nm0415167
tt0013086,nm0902376
tt0013086,nm0000485
tt0013140,nm0002233
tt0013140,nm0014703
tt0013140,nm0031033
tt0013201,nm0730018
tt0013201,nm0853130
tt0013201,nm0369841
tt0013201,nm0907778
tt0013201,nm0188274
tt0013201,nm0516001
tt0013257,nm0159725
tt0013427,nm0280878
tt0013427,nm0280904
tt0013442,nm0301961
tt0013442,nm0831290
tt0013496,nm0369458
tt0013496,nm0902376
tt0013496,nm0903145
tt0013556,nm0001196
tt0013556,nm0202617
tt0013556,nm0245385
tt0013556,nm0461241
tt0013556,nm0940689
tt0013750,nm0495461
tt0013750,nm0538186
tt0013750,nm0715564
tt0013933,nm0258477
tt0013933,nm0258506
tt0014029,nm0566338
tt0014029,nm0784407
tt0014109,nm0405147
tt0014109,nm0481248
tt0014109,nm0830249
tt0014142,nm0401076
